gender	age	country	friend_count	lifetime	city_played	pictionary_played	scramble_played	sniper_played	paid
male	18	USA	83	66	4	5	7	50	non_payer
male	26	UK	2	3	0	0	1	2	non_payer
female	19	GERMANY	1	3	2	0	1	0	non_payer
male	19	USA	0	31	0	4	9	18	non_payer
female	25	USA	5	5	1	3	1	0	non_payer
female	19	CANADA	0	7	6	1	0	0	non_payer
female	22	UK	0	43	19	10	12	2	non_payer
female	18	UK	83	93	53	25	13	2	non_payer
male	24	GERMANY	0	4	0	0	2	2	non_payer
female	22	UK	0	28	15	8	5	0	non_payer
female	18	UK	80	5	3	2	0	0	non_payer
female	25	FRANCE	3	32	20	9	3	0	non_payer
female	18	USA	0	1	1	0	0	0	non_payer
female	19	USA	0	9	7	0	2	0	non_payer
female	28	USA	0	2	0	1	1	0	non_payer
female	18	UK	0	69	35	21	11	2	non_payer
female	26	USA	69	37	17	13	6	1	non_payer
female	22	UK	3	34	22	8	3	1	non_payer
female	20	USA	0	8	5	2	1	0	non_payer
male	22	USA	5	75	7	7	16	45	non_payer
male	29	UK	76	83	9	7	9	58	non_payer
female	20	FRANCE	48	7	6	1	0	0	non_payer
male	23	UK	3	4	1	1	0	2	non_payer
female	18	USA	0	66	28	22	15	1	non_payer
male	18	USA	96	87	6	8	16	57	non_payer
female	24	CANADA	1	3	2	0	1	0	non_payer
male	19	USA	2	5	0	1	1	3	non_payer
female	22	UK	75	3	1	2	0	0	non_payer
female	18	USA	0	43	19	14	8	2	non_payer
female	25	FRANCE	0	0	0	0	0	0	non_payer
male	21	USA	63	0	0	0	0	0	non_payer
female	22	UK	5	85	41	26	15	3	non_payer
male	26	USA	0	4	0	0	0	4	non_payer
female	18	UK	1	41	20	13	8	0	non_payer
female	22	FRANCE	3	10	4	1	5	0	non_payer
male	22	USA	2	6	0	0	1	5	non_payer
female	26	UK	90	52	29	17	5	1	non_payer
female	23	USA	3	7	3	2	2	0	non_payer
male	18	USA	0	23	4	5	2	12	non_payer
female	18	USA	82	77	39	22	14	2	non_payer
male	27	USA	79	9	1	1	4	3	non_payer
male	19	UK	0	79	6	10	18	45	non_payer
female	23	USA	0	5	2	2	1	0	non_payer
female	23	USA	0	10	7	2	1	0	non_payer
female	19	UK	4	48	31	11	3	3	non_payer
male	22	USA	2	10	0	1	0	9	non_payer
male	27	USA	2	7	0	0	0	7	non_payer
female	21	USA	34	62	23	20	19	0	payer
